"sim","nvar","aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"53",5,15,6578.269597553,-14385.7330904724,"censored",540,3,1321,2132,1588,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Bothrops_moojeni","Vipera_ursinii","Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","",""
"54",5,15,2121.32413716341,-12022.2603602776,"censored",675,4,1321,2013,2132,1588,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Psammophis_subtaeniatus","Pseudaspis_cana","Bothrops_moojeni","Vipera_ursinii","Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","",""
"55",5,15,0,-10826.5982916959,"censored",810,5,1321,1329,2013,2132,1588,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Erythrolamprus_mimus","Psammophis_subtaeniatus","Pseudaspis_cana","Bothrops_moojeni","Vipera_ursinii","Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","",""
"56",6,15,25348.8196551601,-24490.5168386515,"base",135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"57",6,15,23631.4983173882,-23630.8561697655,"shift",136,1,1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","","","","","","","","","","","","","","","","","",""
"58",6,15,22863.3292983789,-23245.7716602609,"shift",137,2,1588,2248,NA,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","","","","","","","","","","","","","","","",""
"59",6,15,22475.2315004784,-23050.7227613106,"shift",138,3,1588,2248,2013,NA,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Psammophis_subtaeniatus","Pseudaspis_cana","","","","","","","","","","","","","",""
"60",6,15,22268.7650931849,-22946.4895576639,"shift",139,4,1588,2248,2013,2314,NA,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Psammophis_subtaeniatus","Pseudaspis_cana","Anilios_wiedii","Trilepida_koppesi","","","","","","","","","","","",""
"61",6,15,22068.1260691357,-22845.1700456393,"shift",140,5,1588,2248,2013,2314,2241,NA,NA,NA,NA,NA,"Thamnophis_godmani","Rhabdophis_nigrocinctus","Chilabothrus_striatus","Uropeltis_pulneyensis","Psammophis_subtaeniatus","Pseudaspis_cana","Anilios_wiedii","Trilepida_koppesi","Pareas_atayal","Asthenodipsas_malaccanus","","","","","","","","","",""
"62",6,15,16532.9498171886,-19947.5819196657,"censored",270,1,1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","","","","","","","","","","","","","","","","","",""
"63",6,15,10057.3680724105,-16574.7910472767,"censored",405,2,1321,1325,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Pareas_atayal","","","","","","","","","","","","","","","",""
"64",6,15,4720.04034084858,-13771.1271814957,"censored",540,3,1321,1325,2013,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Pareas_atayal","Psammophis_subtaeniatus","Pseudaspis_cana","","","","","","","","","","","","","",""
"65",6,15,2116.93688765124,-12334.575454897,"censored",675,4,1321,1325,2013,1333,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Pareas_atayal","Psammophis_subtaeniatus","Pseudaspis_cana","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","","","","","","","","","","","",""
"66",6,15,0,-11141.1070110714,"censored",810,5,1321,1325,2013,1333,2133,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Pareas_atayal","Psammophis_subtaeniatus","Pseudaspis_cana","Gyalopion_quadrangulare","Dendrelaphis_cyanochloris","Bothrops_moojeni","Azemiops_feae","","","","","","","","","",""
"67",7,15,34330.8610781504,-23012.8409622608,"base",135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"68",7,15,33672.8382163983,-22682.8295313847,"shift",136,1,2248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","","","","","","","","","","","","","","","","","",""
"69",7,15,33206.1941558472,-22448.5075011091,"shift",137,2,2248,2241,NA,NA,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Pareas_atayal","Asthenodipsas_malaccanus","","","","","","","","","","","","","","","",""
