"sim","nvar","aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"63",6,10,1387.33125749712,7246.6655494784,"censored",195,2,273,381,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Acutotyphlops_kunuaensis","Typhlops_jamaicensis","","","","","","","","","","","","","","","",""
"64",6,10,749.514919003257,7630.57371872533,"censored",260,3,273,489,381,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Egernia_depressa","Acutotyphlops_kunuaensis","Typhlops_jamaicensis","","","","","","","","","","","","","",""
"65",6,10,271.802016913733,7934.43016977009,"censored",325,4,273,489,276,381,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Egernia_depressa","Sonora_semiannulata","Chilabothrus_striatus","Acutotyphlops_kunuaensis","Typhlops_jamaicensis","","","","","","","","","","","",""
"66",6,10,0,8135.33117822696,"censored",390,5,273,489,276,353,381,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Phoboscincus_bocourti","Egernia_depressa","Sonora_semiannulata","Chilabothrus_striatus","Chilabothrus_striatus","Lichanura_trivirgata","Acutotyphlops_kunuaensis","Typhlops_jamaicensis","","","","","","","","","",""
"67",7,10,2139.61290443227,6375.11563914491,"base",65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"68",7,10,1695.02933959999,6598.40742156105,"shift",66,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","","","",""
"69",7,10,1609.44581132342,6642.19918569933,"shift",67,2,273,335,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Bothrops_asper","Vipera_latastei","","","","","","","","","","","","","","","",""
"70",7,10,1541.6426013247,6677.10079069869,"shift",68,3,273,335,432,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Bothrops_asper","Vipera_latastei","Trioceros_hoehnelii","Chamaeleo_calyptratus","","","","","","","","","","","","","",""
"71",7,10,1492.87350297902,6702.48533987153,"shift",69,4,273,335,432,313,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Bothrops_asper","Vipera_latastei","Trioceros_hoehnelii","Chamaeleo_calyptratus","Hydrophis_gracilis","Psammophis_sibilans","","","","","","","","","","","",""
"72",7,10,1450.91994996192,6724.46211638008,"shift",70,5,273,335,432,313,530,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Bothrops_asper","Vipera_latastei","Trioceros_hoehnelii","Chamaeleo_calyptratus","Hydrophis_gracilis","Psammophis_sibilans","Delma_borea","Saltuarius_cornutus","","","","","","","","","",""
"73",7,10,1499.56085978333,6760.14166146938,"censored",130,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","","","",""
"74",7,10,961.708891846611,7094.06764543774,"censored",195,2,436,273,NA,NA,NA,NA,NA,NA,NA,NA,"Gerrhonotus_infernalis","Heloderma_horridum","Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","",""
"75",7,10,469.435411015813,7405.20438585314,"censored",260,3,436,273,459,NA,NA,NA,NA,NA,NA,NA,"Gerrhonotus_infernalis","Heloderma_horridum","Sonora_semiannulata","Acutotyphlops_kunuaensis","Amphisbaena_alba","Diplometopon_zarudnyi","","","","","","","","","","","","","",""
