treename,ProcCoord1,ProcCoord2,ProcCoord3,ProcCoord4,ProcCoord5,ProcCoord6,ProcCoord7,ProcCoord8,ProcCoord9,ProcCoord10,ProcCoord11,ProcCoord12,ProcCoord13,ProcCoord14,ProcCoord15,ProcCoord16,ProcCoord17,ProcCoord18,ProcCoord19,ProcCoord20,ProcCoord21,ProcCoord22,ProcCoord23,ProcCoord24,ProcCoord25,ProcCoord26,ProcCoord27,ProcCoord28,ProcCoord29,ProcCoord30,ProcCoord31,ProcCoord32,ProcCoord33,ProcCoord34,ProcCoord35,ProcCoord36,ProcCoord37,ProcCoord38,ProcCoord39,ProcCoord40
Laticauda_colubrina,-0.10565432,0.080015828,0.023225415,-0.030942248,0.066952618,0.023601692,0.107599801,0.047917754,0.304994169,0.00533413,0.298086038,-0.022337901,0.321908392,-0.111252957,0.282577148,-0.10958022,0.222249623,0.011445288,-0.151024503,-0.060240372,-0.151711872,0.02002771,0.067027598,0.081413855,0.208898983,-0.047432839,-0.275294433,-0.042922297,-0.315763316,-0.030354954,-0.320828398,-0.0229016,-0.253726327,0.044884575,-0.285582682,0.030057236,-0.176231643,0.066883052,0.13229771,0.066384268
Micrurus_fulvius,-0.123654252,0.073525454,0.026232285,-0.03464385,0.112850698,0.025323685,0.163895828,0.032005857,0.274234898,0.002872939,0.262281007,-0.042878988,0.277145012,-0.073954413,0.245395819,-0.062195399,0.202325351,0.018347114,-0.128215015,-0.049766047,-0.126190494,0.025385566,0.059591447,0.068428863,0.25234133,-0.056605237,-0.271106104,-0.030573849,-0.296112051,-0.042621011,-0.33003417,-0.030400813,-0.28888968,0.030271542,-0.307083293,0.028625893,-0.18745669,0.069108731,0.182448073,0.049743963
Naja_naja,-0.079395061,0.086120026,0.013543686,-0.02895585,0.055112838,0.045329378,0.122327638,0.034651237,0.299980881,0.004054264,0.298381929,-0.012148757,0.353272461,-0.127125163,0.313356511,-0.128820667,0.177297291,0.007442667,-0.100774283,-0.047855138,-0.11591103,0.025033384,0.007916611,0.0851335,0.177700135,-0.058202066,-0.253559054,-0.039494044,-0.297855849,-0.0279972,-0.331792418,-0.027639472,-0.27798789,0.050381475,-0.328106261,0.016906401,-0.166166007,0.087283325,0.132657873,0.0559027
Notechis_scutatus,-0.08654836,0.074688529,0.034577688,-0.046055351,0.080970251,0.039859202,0.156647378,0.051352514,0.269473949,0.001697265,0.268120896,-0.024462521,0.318636177,-0.099686091,0.276286348,-0.095938055,0.155451104,0.023996407,-0.093410637,-0.063847603,-0.118190175,0.008419168,0.044485227,0.073516025,0.222762611,-0.059720333,-0.25839541,-0.039287873,-0.306404526,-0.028129469,-0.337964165,-0.021489666,-0.296291296,0.04642142,-0.321101109,0.025445554,-0.16987335,0.076347112,0.160767397,0.056873767
Oxyuranus_scutellatus,-0.073563446,0.061767981,0.01256045,-0.019318752,0.076834504,0.017827623,0.149750327,0.058418504,0.274295959,0.02122251,0.267958881,-0.005402745,0.324226759,-0.13948023,0.28439032,-0.149487036,0.173420403,0.022683232,-0.071924096,-0.056757375,-0.124109282,0.002433253,0.009429984,0.077197515,0.223999446,-0.026797113,-0.246396161,-0.069355411,-0.331569595,-0.013505226,-0.334967846,0.006183217,-0.288847947,0.043333367,-0.308533529,0.042912358,-0.166973245,0.057443457,0.150018112,0.068680872
Parahydrophis_mertoni,-0.093656301,0.068932276,-0.002280975,-0.046084193,0.08660588,0.005223967,0.161726657,0.042889367,0.276986248,0.006560438,0.270932382,-0.012823133,0.290676662,-0.0705472,0.273691372,-0.062640109,0.174345126,-0.000441606,-0.022409732,-0.048320731,-0.125932884,0.021166825,0.008911811,0.078171142,0.252801816,-0.08332842,-0.262793602,-0.029169291,-0.332745287,-0.020198565,-0.37140257,-0.020535556,-0.23658574,0.051519113,-0.337472522,0.006927088,-0.171606426,0.06767908,0.160208086,0.045019509
Pseudechis_porphyriacus,-0.085807221,0.086190718,0.031490344,-0.037179869,0.083718702,0.029354404,0.127590579,0.039568882,0.277417987,-0.005663275,0.277330486,-0.031281084,0.329796578,-0.086848821,0.311012473,-0.111262997,0.160025671,-0.004814328,-0.075139006,-0.095612815,-0.127088915,0.015393515,0.012922504,0.094564629,0.204586204,-0.047491682,-0.268631254,-0.047598313,-0.305791209,-0.034246624,-0.326451385,-0.01933118,-0.28646261,0.055026215,-0.314039319,0.04687289,-0.173737011,0.083866356,0.147256401,0.070493377
Aeluroscalabotes_felinus,0.052937912,0.105412817,0.110511443,0.075294007,0.131690272,0.083454129,0.232017412,0.026783238,0.21884239,0.006908919,0.176930422,-0.082402814,0.178114457,-0.106095043,0.141339358,-0.128129863,0.179777223,0.020114404,-0.032203973,-0.046842771,-0.055085511,0.016199438,0.104339822,0.106922291,0.227985943,-0.022788806,-0.336642287,-0.063776994,-0.337927817,-0.061596799,-0.364236114,-0.043277347,-0.30004778,-0.020301241,-0.344035848,-0.016269421,-0.162321224,0.068056595,0.1780139,0.082335262
Coleonyx_variegatus,0.024766432,0.068806198,0.129493589,0.057279063,0.179567215,0.061349139,0.259809364,0.038002052,0.232236814,-0.001649506,0.175946778,-0.036089561,0.135445008,-0.095787124,0.090762019,-0.064821802,0.206080657,0.02384383,-0.097307613,-0.060387468,-0.079051915,0.000682243,0.106551241,0.08017019,0.277155718,-0.026166783,-0.343710957,-0.057117359,-0.34888485,-0.05365309,-0.372641841,-0.050305866,-0.282210027,-0.005408506,-0.308662101,0.001076541,-0.171716255,0.044524868,0.186370723,0.075652939
Eublepharis_macularius,0.027593347,0.112747051,0.109398757,0.077668966,0.139347003,0.081301142,0.235135487,0.038677828,0.238357647,-0.00386993,0.166934854,-0.062879673,0.153003584,-0.116578294,0.113643642,-0.114656101,0.205600357,0.025434429,-0.06992635,-0.039109024,-0.083100222,0.023130484,0.140562009,0.096874453,0.254690514,-0.033619817,-0.331527694,-0.063327783,-0.334979772,-0.06316155,-0.351003434,-0.064994977,-0.28392039,-0.016156297,-0.328299149,-0.010618684,-0.185502066,0.055680629,0.183991877,0.077457147
Hemitheconyx_caudicinctus,0.016803505,0.117404586,0.132462949,0.078338058,0.177037577,0.081399369,0.244776535,0.032223677,0.222381783,-0.00026925,0.165988716,-0.050294411,0.14808384,-0.118062163,0.109596768,-0.127147047,0.170421192,0.020610066,-0.087081977,-0.042288848,-0.076436537,0.025824815,0.091324735,0.122620624,0.243215752,-0.047586439,-0.327888673,-0.077096502,-0.333572271,-0.075963826,-0.351212099,-0.077730793,-0.284005578,-0.01039605,-0.325390625,-0.004523879,-0.164016374,0.072250294,0.227510783,0.080687719
Agamura_persica,0.053480799,0.109961229,0.121516346,0.081991089,0.140093047,0.085277545,0.239566813,0.031000576,0.225757727,-0.00149716,0.161091961,-0.067891778,0.154210589,-0.11757573,0.126912133,-0.116984378,0.209643133,0.016317031,-0.072738216,-0.073343361,-0.063211341,0.025290772,0.075818726,0.119759681,0.242151814,-0.052230721,-0.346467078,-0.075627911,-0.349549267,-0.075173982,-0.361590927,-0.071173735,-0.288145594,-0.01440613,-0.312842949,-0.014403153,-0.122334721,0.111010123,0.166637006,0.099699993
Bunopus_tuberculatus,0.053265027,0.071922031,0.105620629,0.072249173,0.120797084,0.077373625,0.241762644,0.041974637,0.236805041,0.002051609,0.184313658,-0.043361608,0.172950568,-0.113444917,0.137621199,-0.114801673,0.231751254,0.022551441,-0.083238163,-0.097658718,-0.034727525,0.008196002,0.085108583,0.103415742,0.214583597,-0.024205563,-0.350201237,-0.056589451,-0.353763538,-0.053118538,-0.365979257,-0.044610008,-0.276963327,0.003217232,-0.315754451,-0.006094909,-0.162323835,0.061211441,0.158372048,0.089722452
Hemidactylus_frenatus,0.006725836,0.091859359,0.104356847,0.061885474,0.132575593,0.07603409,0.238826627,0.032557339,0.241592519,-0.000547813,0.183133763,-0.049695145,0.159743127,-0.1039729,0.12580375,-0.105938659,0.176020394,0.007249591,-0.063265729,-0.066553898,-0.062195836,0.010461789,0.071985896,0.10021856,0.253923533,-0.024687161,-0.340281177,-0.051623301,-0.337202274,-0.060082805,-0.354350282,-0.05493616,-0.308058441,-0.008517294,-0.316681687,-0.004642015,-0.137606522,0.067758601,0.224954064,0.083172347
Phelsuma_lineata,0.012624116,0.093463372,0.116523819,0.067971005,0.13434931,0.076255148,0.240088623,0.040960701,0.227408775,-0.002184085,0.170390173,-0.052680125,0.172722075,-0.095615373,0.132277015,-0.100205968,0.160778809,-0.002947474,-0.058442046,-0.062609799,-0.062155461,0.01721177,0.102994589,0.098884216,0.267969507,-0.032361616,-0.341161368,-0.054674472,-0.345050584,-0.054512307,-0.368620084,-0.056057216,-0.298322705,-0.001000288,-0.328415859,-0.014693308,-0.124996287,0.057489637,0.189037583,0.077306181
Ptenopus_carpi,0.047186686,0.11191248,0.113396533,0.077923644,0.143448096,0.079234877,0.252798893,0.028469387,0.238627952,0.001256646,0.155610897,-0.08647581,0.15317458,-0.10962957,0.132448665,-0.131922798,0.206962185,0.021384299,-0.073819546,-0.063393233,-0.074640269,0.024461952,0.095904757,0.120116547,0.248125742,-0.037795142,-0.329544496,-0.06691101,-0.323938426,-0.073330477,-0.340861758,-0.073603035,-0.292686008,0.00563562,-0.314670269,-0.006686298,-0.201759751,0.078548593,0.164235537,0.100803328
