family,genus,species,sample,institution,voucher,type,inTopoConstraint,num_total,avg_length,SRR
Scincidae,Lygosoma,Lygosoma_popae,CAS_210503,CAS,CAS_210503,newly collected,TRUE,5231,866,SAMN09221121
Elapidae,Bungarus,Bungarus_magnimaculatus,CAS_210526,CAS,CAS_210526,newly collected,TRUE,5097,954,SAMN09221122
Gekkonidae,Hemidactylus,Hemidactylus_thayene,CAS_213320,CAS,CAS_213320,newly collected,TRUE,5157,791,SAMN09221123
Scincidae,Scincella,Scincella_melanosticta,CAS_213330,CAS,CAS_213330,newly collected,TRUE,5196,1072,SAMN09221124
Colubridae,Dendrelaphis,Dendrelaphis_subocularis,CAS_214028,CAS,CAS_214028,newly collected,TRUE,4963,1152,SAMN09221125
Gekkonidae,Lygodactylus,Lygodactylus_picturatus,CAS_214833,CAS,CAS_214833,newly collected,TRUE,5224,861,SAMN09221127
Colubridae,Ptyas,Ptyas_nigromarginata,CAS_215105,CAS,CAS_215105,newly collected,TRUE,4918,1076,SAMN09221128
Colubridae,Boiga,Boiga_siamensis,CAS_215635,CAS,CAS_215635,newly collected,TRUE,4898,895,SAMN09221129
Colubridae,Oligodon,Oligodon_albocinctus,CAS_216636,CAS,CAS_216636,newly collected,TRUE,4981,1019,SAMN09221130
Gekkonidae,Hemidactylus,Hemidactylus_principensis,CAS_219198,CAS,CAS_219198,newly collected,TRUE,5169,907,SAMN09221131
Agamidae,Cristidorsa,Cristidorsa_planidorsata,CAS_219935,CAS,CAS_219935,newly collected,TRUE,5170,930,SAMN09221132
Colubridae,Hebius,Hebius_xenura,CAS_220256,CAS,CAS_220256,newly collected,TRUE,4997,1023,SAMN09221133
Scincidae,Scincella,Scincella_victoriana,CAS_220628,CAS,CAS_220628,newly collected,TRUE,5270,862,SAMN09221134
Colubridae,Oligodon,Oligodon_mcdougalli,CAS_221086,CAS,CAS_221086,newly collected,TRUE,4928,1069,SAMN09221135
Colubridae,Dendrelaphis,Dendrelaphis_cyanochloris,CAS_221428,CAS,CAS_221428,newly collected,TRUE,5080,938,SAMN09221136
Colubridae,Boiga,Boiga_quincunciata,CAS_221434,CAS,CAS_221434,newly collected,TRUE,5062,903,SAMN09221137
Scincidae,Scincella,Scincella_punctatolineata,CAS_221870,CAS,CAS_221870,newly collected,TRUE,5198,948,SAMN09221138
Colubridae,Xenochrophis,Xenochrophis_bellulus,CAS_222087,CAS,CAS_222087,newly collected,TRUE,4976,959,SAMN09221139
Elapidae,Aspidelaps,Aspidelaps_lubricus,CAS_223956,CAS,CAS_223956,newly collected,TRUE,5100,925,SAMN09221140
Leptotyphlopidae,Namibiana,Namibiana_labialis,CAS_223962,CAS,CAS_223962,newly collected,TRUE,4842,789,SAMN09221141
Typhlopidae,Rhinotyphlops,Rhinotyphlops_lalandei,CAS_223976,CAS,CAS_223976,newly collected,TRUE,4837,758,SAMN09221142
Agamidae,Pseudotrapelus,Pseudotrapelus_jensvindumi,CAS_225340,CAS,CAS_225340,newly collected,TRUE,5173,994,SAMN09221144
Colubridae,Liopeltis,Liopeltis_frenata,CAS_225548,CAS,CAS_225548,newly collected,TRUE,5027,1136,SAMN09221145
Agamidae,Agama,Agama_lanzai,CAS_227496,CAS,CAS_227496,newly collected,TRUE,5207,870,SAMN09221146
Agamidae,Pseudotrapelus,Pseudotrapelus_dhofarensis,CAS_227583,CAS,CAS_227583,newly collected,TRUE,5198,953,SAMN09221147
Lacertidae,Eremias,Eremias_kavirensis,CAS_228522,CAS,CAS_228522,newly collected,TRUE,5062,572,SAMN09221148
Colubridae,Lytorhynchus,Lytorhynchus_ridgewayi,CAS_228566,CAS,CAS_228566,newly collected,TRUE,5083,844,SAMN09221149
Colubridae,Rhynchocalamus,Rhynchocalamus_satunini,CAS_228723,CAS,CAS_228723,newly collected,TRUE,5065,998,SAMN09221150
Scincidae,Ablepharus,Ablepharus_pannonicus,CAS_228724,CAS,CAS_228724,newly collected,TRUE,5197,810,SAMN09221151
Lacertidae,Eremias,Eremias_lineolata,CAS_228805,CAS,CAS_228805,newly collected,TRUE,5172,688,SAMN09221152
Homalopsidae,Homalopsis,Homalopsis_semizonata,CAS_229655,CAS,CAS_229655,newly collected,TRUE,5016,885,SAMN09221153
Gekkonidae,Cyrtodactylus,Cyrtodactylus_brevipalmatus,CAS_229794,CAS,CAS_229794,newly collected,TRUE,5064,857,SAMN09221155
Lamprophiidae,Psammophis,Psammophis_leithii,CAS_232085,CAS,CAS_232085,newly collected,TRUE,5049,970,SAMN09221156
Agamidae,Phrynocephalus,Phrynocephalus_luteoguttatus,CAS_232112,CAS,CAS_232112,newly collected,TRUE,5204,879,SAMN09221157
Agamidae,Laudakia,Laudakia_agrorensis,CAS_232150,CAS,CAS_232150,newly collected,TRUE,5151,880,SAMN09221158
Colubridae,Oligodon,Oligodon_dorsalis,CAS_233295,CAS,CAS_233295,newly collected,TRUE,5050,915,SAMN09221159
Anniellidae,Anniella,Anniella_alexanderae,CAS_233823,CAS,CAS_233823,newly collected,TRUE,5211,1009,SAMN09221160
Anniellidae,Anniella,Anniella_grinnelli,CAS_234252,CAS,CAS_234252,newly collected,TRUE,5203,962,SAMN09221162
Scincidae,Lipinia,Lipinia_leptosoma,CAS_236743,CAS,CAS_236743,newly collected,TRUE,5212,1032,SAMN09221164
Colubridae,Lycodon,Lycodon_gongshan,CAS_241963,CAS,CAS_241963,newly collected,TRUE,4966,1055,SAMN09221165
Agamidae,Pseudocalotes,Pseudocalotes_kingdonwardi,CAS_241965,CAS,CAS_241965,newly collected,TRUE,5183,1039,SAMN09221166
Agamidae,Diploderma,Diploderma_yunnanense,CAS_242183,CAS,CAS_242183,newly collected,TRUE,5200,1011,SAMN09221167
Colubridae,Erythrolamprus,Erythrolamprus_ocellatus,CAS_245326,CAS,CAS_245326,newly collected,TRUE,4889,736,SAMN09221168
Colubridae,Dendrelaphis,Dendrelaphis_striatus,CAS_247462,CAS,CAS_247462,newly collected,TRUE,5026,919,SAMN09221170
Colubridae,Boiga,Boiga_drapiezii,CAS_247770,CAS,CAS_247770,newly collected,TRUE,5054,946,SAMN09221171
Colubridae,Dendrelaphis,Dendrelaphis_formosus,CAS_247798,CAS,CAS_247798,newly collected,TRUE,4962,853,SAMN09221172
Lamprophiidae,Xenocalamus,Xenocalamus_bicolor,CAS_248601,CAS,CAS_248601,newly collected,TRUE,5056,989,SAMN09221173
Typhlopidae,Afrotyphlops,Afrotyphlops_bibronii,CAS_248605,CAS,CAS_248605,newly collected,TRUE,4930,858,SAMN09221174
Elapidae,Dendroaspis,Dendroaspis_jamesoni,CAS_253289,CAS,CAS_253289,newly collected,TRUE,5076,967,SAMN09221175
Colubridae,Natriciteres,Natriciteres_fuliginoides,CAS_253490,CAS,CAS_253490,newly collected,TRUE,4893,1210,SAMN09221176
Gekkonidae,Hemidactylus,Hemidactylus_muriceus,CAS_254518,CAS,CAS_254518,newly collected,TRUE,5188,857,SAMN09221177
Colubridae,Dipsadoboa,Dipsadoboa_underwoodi,CAS_254592,CAS,CAS_254592,newly collected,TRUE,5071,903,SAMN09221178
Elapidae,Parasuta,Parasuta_gouldii,CAS_254647,CAS,CAS_254647,newly collected,TRUE,5043,1027,SAMN09221179
Homalopsidae,Gerarda,Gerarda_prevostiana,CAS204972,CAS,CAS204972,newly collected,TRUE,5022,1081,SAMN09221113
Colubridae,Ptyas,Ptyas_mucosa,CAS208434,CAS,CAS208434,newly collected,TRUE,5065,1114,SAMN09221118
Colubridae,Sibynophis,Sibynophis_bistrigatus,CAS214081,CAS,CAS214081,newly collected,TRUE,5044,1123,SAMN09221126
